Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
KASHI GOLEAN CRISP TSTD BERRY CRUMBLE,1.0,20.2,3.3,0.0
YORK BITES,3.0,75.0,0.94,1.0
GENERAL MILLS/BERRY BURST CHEERIOS/TRIPLE BERRY,1.0,27.0,16.7,0.0
QUAKER/QUICK OATS/DRY,1.0,1.42,4.64,0.0
JAMS & PRESERVES/DIETETIC (WITH NA SACCHARIN)/ANY FLAVOR,3.0,37.81,0.4,0.0
CINN TOAST CRUNCH,1.0,29.7,12.89,0.0
FROZEN NOVL/KLONDIKE/SLIM-A-BEAR/NO SGR ADDED/STICKLESS BAR,3.0,8.64,0.41,8.0
CHOCOLATE/DK/60-69% CACAO SOL,3.0,36.71,6.32,6.0
CANDIES/FUDGE/VANILLA/PREPARED-FROM-RECIPE,3.0,79.77,0.02,15.0
CANDIES/FUDGE/VANILLA W/ NUTS,3.0,71.0,0.41,13.0
KELLOGG/KELLOGG'S SPL K,1.0,12.2,28.0,0.0
ICE CREAMS/VANILLA/FAT FREE,3.0,6.3,0.0,0.0
CANDIES/MARS SNACKFOOD US/STARBURST SOUR FRUIT CHEWS,3.0,56.1,0.01,0.0
GENERAL MILLS/OATMEAL CRISP/CRUNCHY ALMOND,1.0,26.8,15.0,0.0
CHEWING GUM/SUGARLESS,3.0,0.0,0.0,0.0
GENERAL MILLS/DORA THE EXPLORER,1.0,21.2,30.0,0.0
FROZEN NOVELTIES/KLONDIKE/SLIM-A-BEAR VANILLA SNDWCH,3.0,21.82,0.38,4.0
SNACKS/PITA CHIPS/SALTED,2.0,4.76,4.59,0.0
CANDIES/REESE'S/FAST BREAK/MILK CHOC PNT BTR & SFT NUGTS,3.0,53.08,0.96,4.0
SNACKS/GRANOLA BAR/CHEWY/RED SUGAR/ALL FLAVORS,2.0,20.8,2.03,0.0
JELLIES/RED SUGAR/HOME PRESERVED,3.0,45.3,0.18,0.0
CANDIES/KIT KAT WAFER BAR,3.0,48.68,1.0,11.0
CANDIES/MARS SNACKFOOD US/M&M'S PNUT CHOC CANDIES,3.0,50.75,1.16,8.0
GENERAL MILLS/NATURE VALLEY LOFAT FRUIT GRANOLA,1.0,33.41,2.0,0.0
CANDIES/MARS SNACKFOOD US/SKITTLES WILD BERRY BITE SIZE,3.0,75.92,0.0,0.0
POPCORN/OIL-POPPED/LOFAT,2.0,0.92,2.28,0.0
CANDIES/PRALINE/PREPARED-FROM-RECIPE,3.0,55.79,1.29,0.0
POST/GRAPE-NUTS CRL,1.0,8.9,38.06,0.0
MOTHER'S COCOA BUMPERS,1.0,41.84,5.29,0.0
PUDDINGS/VANILLA/DRY MIX/INST/PREP W/ WHL MILK,3.0,18.03,0.07,11.0
CANDIES/MARS SNACKFOOD US/POP SNICKERS BITE SIZE CANDIES,3.0,51.69,0.72,13.0
NUTRI-GRAIN FRUIT & NUT BAR,2.0,32.45,5.65,0.0
GENERAL MILLS/25% LESS SUGAR TRIX,1.0,23.9,17.1,0.0
GENERAL MILLS/HONEY NUT CHEX,1.0,28.13,14.06,0.0
DESSERTS/EGG CUSTARD/BKD/PREPARED-FROM-RECIPE,3.0,11.0,0.35,84.0
POPCORN/OIL-POPPED/LOFAT,2.0,0.65,2.87,0.0
INST OATMEAL ORGANIC/REG,1.0,1.0,4.2,0.0
MALT-O-MEAL/BERRY COLOSSAL CRUNCH,1.0,43.86,30.0,0.0
DESSERTS/PUDD/COCNT CRM/DRY MIX/INST,3.0,64.0,0.72,0.0
POTATO CHIPS/PLN/UNSALTED,2.0,0.22,1.63,0.0
POTATO CHIPS/WO/SALT/RED FAT,2.0,0.22,1.35,0.0
OAT CLUSTER CHEERIOS CRUNCH,1.0,27.9,16.7,0.0
CANDIES/MILK CHOC,3.0,51.5,2.35,23.0
RAISINS & SPICE/PREP W/ H2O,1.0,8.71,2.21,0.0
CANDIES/HERSHEY/KIT KAT BIG KAT BAR,3.0,53.96,0.84,9.0
KELLOGG'S FROOT LOOPS,1.0,41.7,15.5,0.0
KELLOGG'S FRSTD MINI-WHEATS BITE SZ BLUEB MUFFIN,1.0,22.7,29.5,0.0
CANDIES/SYMPHONY MILK CHOC BAR,3.0,53.96,0.91,24.0
CANDIES/TWIZZLERS STRAWBERRY TWISTS CANDY,3.0,39.64,0.51,0.0
MARSHMLLW ALPHA-BITS,1.0,35.7,9.31,0.0
MALT-O-MEAL/MARSHMLLW MATEYS,1.0,42.8,19.3,1.0
QUAKER HONEY GRAHAM LIFE CRL,1.0,23.12,29.73,0.0
BEAR NAKED BANANA NUT,1.0,21.7,2.5,0.0
PIE FILLINGS/BLUEBERRY/CND,3.0,37.75,0.8,0.0
INST OATMEAL EXPRESS/BKD APPL/DRY,1.0,31.48,7.33,8.0
POST/GREAT GRAINS/RAISIN/DATE & PECAN,1.0,24.1,16.4,0.0
GENERAL MILLS/COCOA PUFFS,1.0,37.2,16.7,0.0
GRANOLA BARS/SOFT/COATD/MILK CHOC COATING/PNUT BUTTER,2.0,23.74,1.45,12.0
CANDIES/NESTLE/AFTER EIGHT MINTS,3.0,66.6,0.57,0.0
POPCORN/CHEESE-FLAVOR,2.0,0.79,2.24,11.0
FRSTD FLAKES/CHOCO ZUCARITAS,1.0,38.1,15.0,0.0
CRM OF RICE/CKD W/H2O/WO/SALT,1.0,0.04,3.96,0.0
KELLOGG'S CORN FLAKES,1.0,9.5,28.9,0.0
KASHI GOLEAN CRUNCH!,1.0,24.0,3.3,0.0
CANDIES/GUM DROPS/DIETETIC OR LO CAL (SORBITOL),3.0,70.0,0.0,0.0
MALT-O-MEAL/COLOSSAL CRUNCH,1.0,42.09,30.0,0.0
ALPEN,1.0,20.0,3.0,0.0
QUAKER/INST GRITS PRODUCT W/ HAM 'N' CHS/DRY,1.0,3.57,28.93,1.0
gran bar/GENERAL MILLS/ NATURE VALLEY/ w yogu coati,2.0,40.0,1.03,0.0
BAKING CHOC/MARS SNACKFOOD US/M&M'S MILK CHOC MINI BAK BITS,3.0,62.54,1.23,15.0
PRETZEL/HARD CHOC COATD,2.0,38.8,2.54,0.0
