Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CANDIES/FUDGE/VANILLA/PREPARED-FROM-RECIPE,3.0,79.77,0.02,15.0
CANDIES/FUDGE/VANILLA W/ NUTS,3.0,71.0,0.41,13.0
CEREALS RTE/KELLOGG/KELLOGG'S SPL K,1.0,12.2,28.0,0.0
ICE CREAMS/VANILLA/FAT FREE,3.0,6.3,0.0,0.0
CANDIES/MARS SNACKFOOD US/STARBURST SOUR FRUIT CHEWS,3.0,56.1,0.01,0.0
CEREALS RTE/GENERAL MILLS/OATMEAL CRISP/CRUNCHY ALMOND,1.0,26.8,15.0,0.0
CHEWING GUM/SUGARLESS,3.0,0.0,0.0,0.0
CEREALS RTE/GENERAL MILLS/DORA THE EXPLORER,1.0,21.2,30.0,0.0
FROZEN NOVELTIES/KLONDIKE/SLIM-A-BEAR VANILLA SNDWCH,3.0,21.82,0.38,4.0
SNACKS/PITA CHIPS/SALTED,2.0,4.76,4.59,0.0
CANDIES/REESE'S/FAST BREAK/MILK CHOC PNT BTR & SFT NUGTS,3.0,53.08,0.96,4.0
SNACKS/GRANOLA BAR/CHEWY/RED SUGAR/ALL FLAVORS,2.0,20.8,2.03,0.0
JELLIES/RED SUGAR/HOME PRESERVED,3.0,45.3,0.18,0.0
CANDIES/KIT KAT WAFER BAR,3.0,48.68,1.0,11.0
CANDIES/MARS SNACKFOOD US/M&M'S PNUT CHOC CANDIES,3.0,50.75,1.16,8.0
CEREALS RTE/GENERAL MILLS/NATURE VALLEY LOFAT FRUIT GRANOLA,1.0,33.41,2.0,0.0
CANDIES/MARS SNACKFOOD US/SKITTLES WILD BERRY BITE SIZE,3.0,75.92,0.0,0.0
POPCORN/OIL-POPPED/LOFAT,2.0,0.92,2.28,0.0
CANDIES/PRALINE/PREPARED-FROM-RECIPE,3.0,55.79,1.29,0.0
CEREALS RTE/POST/GRAPE-NUTS CRL,1.0,8.9,38.06,0.0
CEREALS RTE/QUAKER/MOTHER'S COCOA BUMPERS,1.0,41.84,5.29,0.0
